央视频道,#genre#
深圳卫视,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000308/1000.m3u8?IASHttpSessionId
东南卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000310/1000.m3u8?IASHttpSessionId
湖北卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000325/1000.m3u8?IASHttpSessionId
广东卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000307/1000.m3u8?IASHttpSessionId
黑龙江卫视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000306/1000.m3u8?IASHttpSessionId
重庆卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000341/1000.m3u8?IASHttpSessionId
贵州卫视,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000329/1000.m3u8?IASHttpSessionId
江西卫视,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000335/1000.m3u8?IASHttpSessionId
河北卫视,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000330/1000.m3u8?IASHttpSessionId
海南卫视,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000347/1000.m3u8?IASHttpSessionId
四川卫视,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000348/1000.m3u8?IASHttpSessionId
山西卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000032/1000.m3u8?IASHttpSessionId
河南卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000358/1000.m3u8?IASHttpSessionId
广西卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000368/1000.m3u8?IASHttpSessionId
吉林卫视,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000363/1000.m3u8?IASHttpSessionId
云南卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000367/1000.m3u8?IASHttpSessionId
陕西卫视,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000029/1000.m3u8?IASHttpSessionId
内蒙古卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000040/1000.m3u8?IASHttpSessionId
宁夏卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000043/1000.m3u8?IASHttpSessionId
新疆卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000044/1000.m3u8?IASHttpSessionId
甘肃卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000349/1000.m3u8?IASHttpSessionId
青海卫视,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000366/1000.m3u8?IASHttpSessionId
西藏卫视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000045/1000.m3u8?IASHttpSessionId
金鹰卡通,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002027/1000.m3u8?IASHttpSessionId
兵团卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000071/1000.m3u8?IASHttpSessionId
农林卫视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000072/1000.m3u8?IASHttpSessionId
厦门卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000075/1000.m3u8?IASHttpSessionId
延边卫视,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000668/1000.m3u8?IASHttpSessionId
地方卫视,#genre#
QTV-1,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000500/1000.m3u8?IASHttpSessionId
QTV-2,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000501/1000.m3u8?IASHttpSessionId
即墨新闻,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001080/1000.m3u8?IASHttpSessionId
山东文旅,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000337/1000.m3u8?IASHttpSessionId
山东生活,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000336/1000.m3u8?IASHttpSessionId
山东综艺,http://39.135.160.13:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000338/1000.m3u8?IASHttpSessionId
山东体育,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000315/1000.m3u8?IASHttpSessionId
山东新闻,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000314/1000.m3u8?IASHttpSessionId
山东农科,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000339/1000.m3u8?IASHttpSessionId
山东少儿,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000340/1000.m3u8?IASHttpSessionId
居家购物,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000700/1000.m3u8?IASHttpSessionId
山东教育,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000331/1000.m3u8?IASHttpSessionId
QTV-3,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000502/1000.m3u8?IASHttpSessionId
QTV-4,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000503/1000.m3u8?IASHttpSessionId
QTV-5,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000504/1000.m3u8?IASHttpSessionId
QTV-6,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000505/1000.m3u8?IASHttpSessionId
哈尔滨新闻综合频道,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨生活频道,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨娱乐频道,http://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨影视频道,http://stream.hrbtv.net/yspd/sd/live.m3u8
[BD]黑龙江大庆公共[ipv6],https://stream1.freetv.fun/9a5ec800670010eba099083427cdf0f0adf5d585296e6cdc396169c87745a07c.m3u8
[BD]黑龙江少儿[ipv6],https://stream1.freetv.fun/5e319bddd0791b061d150e2211423872627fda288b7aaa32075ee025142b8d38.m3u8
[BD]黑龙江影视 8m1080,https://stream1.freetv.fun/2b6af76ec639c5dec60b79d46668472d9e2efabb9691fc1236aa49e1830e80f4.m3u8
[BD]黑龙江文化[ipv6],https://stream1.freetv.fun/93c7bfe0229d6200796061f8915b8ea07008a9760a79a73de0596530e1807520.m3u8
[BD]黑龙江文体 8m1080,https://stream1.freetv.fun/567515758c591fd69e52d0b0969c2323f0bb46cbbf8bbe9947382bec93f861bf.m3u8
[BD]黑龙江新闻[ipv6],https://stream1.freetv.fun/ab42a37e36581ba919da225ab42eea2acebe963eed9be5658db2e3c1dc8dbec9.m3u8
[BD]黑龙新闻法治[ipv6],https://stream1.freetv.fun/08e8dc836a9f361c4c530b31e91fb863e7d3f974cdf9d38126038200f007d3ca.m3u8
[BD]黑龙江都市[ipv6],https://stream1.freetv.fun/1175fe96b51b312afc0f98d824b8cce5c65a7c2a5911611ee31f00cef9b1f8dc.m3u8
特色频道,#genre#
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国交通,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000073/1000.m3u8?IASHttpSessionId
纪实人文,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000333/1000.m3u8?IASHttpSessionId
金鹰纪实,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000334/1000.m3u8?IASHttpSessionId
三沙卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000078/1000.m3u8?IASHttpSessionId
嘉佳卡通,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000074/1000.m3u8?IASHttpSessionId
中国教育-1,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000076/1000.m3u8?IASHttpSessionId
中国教育-2,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000077/1000.m3u8?IASHttpSessionId
中国教育-4,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000666/1000.m3u8?IASHttpSessionId
BRTV(北京)-纪实科教,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000332/1000.m3u8?IASHttpSessionId
金色学堂,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002018/1000.m3u8?IASHttpSessionId
魅力足球,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002021/1000.m3u8?IASHttpSessionId
生活时尚,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002019/1000.m3u8?IASHttpSessionId
都市剧场,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002022/1000.m3u8?IASHttpSessionId
乐游,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002016/1000.m3u8?IASHttpSessionId
法治天地,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002010/1000.m3u8?IASHttpSessionId
游戏风云,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002024/1000.m3u8?IASHttpSessionId
东方财经,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002025/1000.m3u8?IASHttpSessionId
梨园,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000656/1000.m3u8?IASHttpSessionId
财富天下,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000607/1000.m3u8?IASHttpSessionId
武术世界,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000657/1000.m3u8?IASHttpSessionId
文物宝库,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000658/1000.m3u8?IASHttpSessionId
精彩影视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002012/1000.m3u8?IASHttpSessionId
茶,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000649/1000.m3u8?IASHttpSessionId
快乐垂钓,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000648/1000.m3u8?IASHttpSessionId
先锋乒羽,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000650/1000.m3u8?IASHttpSessionId
书画,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000651/1000.m3u8?IASHttpSessionId
新动漫,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000659/1000.m3u8?IASHttpSessionId
四海钓鱼,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000640/1000.m3u8?IASHttpSessionId
环球旅游,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000643/1000.m3u8?IASHttpSessionId
优优宝贝,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000641/1000.m3u8?IASHttpSessionId
车迷,http://39.135.111.100:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000645/1000.m3u8?IASHttpSessionId
中华特产,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000642/1000.m3u8?IASHttpSessionId
山东广播电视台经济广播,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00003001/1000.m3u8?IASHttpSessionId
山东广播电视台交通广播,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.138:8081/00/SNM/CHANNEL00003002/1000.m3u8?IASHttpSessionId
CHC家庭影院,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002028/1000.m3u8?IASHttpSessionId
CHC影迷电影,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002029/1000.m3u8?IASHttpSessionId
CHC动作电影,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002030/1000.m3u8?IASHttpSessionId
动漫秀场,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00002000/1000.m3u8?IASHttpSessionId
齐鲁高清,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000313/1000.m3u8?IASHttpSessionId
快乐购物,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000709/1000.m3u8?IASHttpSessionId
汽摩频道,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000711/1000.m3u8?IASHttpSessionId
BRTV（北京）-KAKU少儿,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000661/1000.m3u8?IASHttpSessionId
优漫卡通,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000049/1000.m3u8?IASHttpSessionId
哈哈炫动,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000050/1000.m3u8?IASHttpSessionId
NewTV 哒啵赛事「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
NewTV 黑莓动画「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
NewTV 黑莓电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
NewTV 超级电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV 超级电视剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV 超级体育「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV 超级综艺「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV 金牌综艺「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV 东北热剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV 古装剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV 欢乐剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV 怡伴健康「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTV 潮妈辣婆「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV 军旅剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV 军事评论「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTV 中国功夫「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV 农业致富「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTV 动作电影「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV 家庭剧场「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV 惊悚悬疑「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV 武博世界「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTV 炫舞未来「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
NewTV 爱情喜剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV 精品萌宠「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
NewTV 精品体育「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTV 精品大剧「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV 精品记录「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
咪咕运动「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
咪咕直播（体育）1「IPV6」,http://[2409:8087:1a01:df::404d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
咪咕直播（体育）2「IPV6」,http://[2409:8087:1a01:df::403b]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
咪咕直播（体育）3「IPV6」,http://[2409:8087:1a01:df::4033]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
咪咕直播（体育）4「IPV6」,http://[2409:8087:1a01:df::4046]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
CETV1中国教育电视台一套,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
国际频道,#genre#
WionNews,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
AXS TV Now,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
CBN News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
Al Jazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
Love Nature,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Fashion TV,http://91.247.68.229:8000/play/Fashion/index.m3u8
Fight Network,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
